Program		INST_RETIRED.ANY	CPU_CLK_UNHALTED.THREAD	CPU_CLK_UNHALTED.REF_TSC	MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	DTLB_STORE_MISSES.MISS_CAUSES_A_WALK	ICACHE.HIT	ICACHE.MISSES	ITLB_MISSES.MISS_CAUSES_A_WALK	BR_INST_EXEC.ALL_BRANCHES	BR_MISP_EXEC.ALL_BRANCHES	BR_INST_RETIRED.ALL_BRANCHES	MEM_UOPS_RETIRED.STLB_MISS_LOADS	MEM_UOPS_RETIRED.STLB_MISS_STORES	MEM_UOPS_RETIRED.ALL_LOADS	MEM_UOPS_RETIRED.ALL_STORES	MEM_LOAD_UOPS_RETIRED.L1_HIT	MEM_LOAD_UOPS_RETIRED.L2_HIT	MEM_LOAD_UOPS_RETIRED.L3_HIT	MEM_LOAD_UOPS_RETIRED.L1_MISS	MEM_LOAD_UOPS_RETIRED.L2_MISS	MEM_LOAD_UOPS_RETIRED.L3_MISS	DTLB_LOAD_MISSES.WALK_COMPLETED	DTLB_LOAD_MISSES.STLB_HIT	DTLB_STORE_MISSES.WALK_COMPLETED	DTLB_STORE_MISSES.STLB_HIT	ITLB_MISSES.WALK_COMPLETED	ITLB_MISSES.STLB_HIT	Benign
dr_test		543750815625	451862677793	357454536181	59792868	0	29412044118	14400216	0	104831172444	4800072	103312724484	2400072	1800054	177648266472	77328115992	156564234846	5789573682	923187576	6696800898	889573464	15000450	0	0	0	0	0	0	0
dr_test		545586818379	452174678261	356812535218	1440792	0	29652044478	13200198	0	105335180004	6000090	103847936526	0	446413392	179340269010	78468117702	157272235908	6147184410	978110634	7069412076	897976992	55201656	0	0	0	0	0	0	0
dr_test		548426822639	448818673227	355418533127	2521386	0	20820031230	14400216	0	106405596060	4800072	105220767414	48601458	202206066	179532269298	78804118206	157176235764	5800974024	905780268	6681200430	860761368	25200756	0	0	0	0	0	0	0
dr_test		549352824028	447640671460	354720532080	16689174	0	20772031158	13200198	0	106171592550	6000090	104855959206	1200036	64801944	180516270774	79092118638	158736238104	5805174150	1474819164	6683000484	845755068	558616758	0	0	0	0	0	0	0
dr_test		545912818868	451438677157	356112534168	2041122	0	29124043686	15600234	0	105756386322	4800072	104404749054	29400882	0	179160268740	78084117126	156600234900	5800374006	903979512	6706401186	878768928	0	0	0	0	0	0	0	0
dr_test		547744821616	450618675927	358240537360	1680924	0	28968043452	15600234	0	106449996726	6000090	104680755264	11400342	0	179136268704	78276117414	156672235008	5788973664	898577244	6689000664	881470062	0	0	0	0	0	0	0	0
dr_test		545432818148	447896671844	355294532941	6603630	0	20676031014	13200198	0	105813987186	6000090	103763934636	0	65401962	178776268164	78000117000	157008235512	5931177930	1502730882	6824604732	867364140	568217046	0	0	0	0	0	0	0
dr_test		571262856893	421916632874	335198502797	360198	0	7020010530	3600054	0	112052880768	4800072	110392883784	0	0	189612284418	83892125838	164244246366	6354190620	1110466200	7466623992	1089457380	0	0	0	0	0	0	0	0
dr_test		538466807699	451020676530	355736533604	59912934	0	29136043704	14400216	0	104427966396	6000090	102227900076	3600108	7800234	176148264222	76164114246	154188231282	5749372476	971507862	6644599332	877268298	69602088	0	0	0	0	0	0	0
dr_test		546684820026	450524675786	357028535542	20891484	0	21744032616	15600234	0	105491182344	4800072	103994339820	1800054	64801944	179040268560	78360117540	157524236286	5763772908	1472418156	6625398756	842453682	567617028	0	0	0	0	0	0	0
dh_test		582754874131	470488705732	361714542571	2041122	0	59100088650	1200018	0	118926583872	34800522	119719493628	96602898	0	168780253170	91284136926	147552221328	6361990854	963104334	7326819798	941495262	0	0	0	0	0	0	0	0
dh_test		574822862233	473632710448	363642545463	1800990	0	67704101556	2400036	0	116706550572	33600504	116719426128	0	30600918	166320249480	89352134028	145356218034	6615798468	1811860662	7667630022	1029732306	598217946	0	0	0	0	0	0	0
dh_test		579906869859	469992704988	361592542388	1921056	0	58992088488	0	0	118412976168	33600504	118565067654	60001800	0	167724251586	90624135936	146184219276	6340990224	991616304	7334020014	973908870	0	0	0	0	0	0	0	0
dh_test		576558864837	472832709248	364480546720	720396	0	67608101412	1200018	0	117631764450	32400486	117501843732	0	286808604	167616251424	90300135450	145440218160	6884606532	1133275776	7998239940	1090958010	20400612	0	0	0	0	0	0	0
dh_test		575022862533	473536710304	366486549729	3722046	0	68052102078	2400036	0	116777351634	32400486	117737049024	132603978	336010080	166320249480	89832134748	145572218358	6312189360	976610004	7274018214	939994632	12600378	0	0	0	0	0	0	0
dh_test		578764868146	469602704403	361884542826	720396	0	59076088614	2400036	0	118278574152	33600504	118447465008	18600558	751222536	167976251964	91452137178	146520219780	6372791178	992816808	7328019834	942695766	34201026	0	0	0	600018	0	0	0
dh_test		581400872100	470218705327	364172546258	1800990	0	59232088848	2400036	600018	118354175286	33600504	118956276456	79202376	567017010	168576252864	91752137628	147024220536	6293588802	1003321218	7262017854	950499042	31800954	0	0	0	0	0	0	0
dh_test		574068861102	473040709560	364088546132	103016628	0	67596101394	1200018	0	117078556152	32400486	117029033094	1800054	0	165936248904	89220133830	144564216846	6300189000	952599924	7254217620	943596144	0	0	0	0	0	0	0	0
dh_test		583824875736	470502705753	361890542835	1320726	0	59124088686	2400036	0	119455791810	33600504	119774694870	55801674	0	168948253422	91488137232	147288220932	6308589252	973008492	7282418466	960103074	0	0	0	0	0	0	0	0
dh_test		590770886155	439686659529	344522516783	600330	0	46116069174	0	0	121932628962	34800522	121101924732	0	0	173616260424	93360140040	150192225288	6244987344	1099361538	7344820338	1074751206	0	0	0	0	0	0	0	0
hr_test		652594978891	481800722700	388196582294	1200660	0	56928085392	14400216	0	119064585942	46800702	118053856152	0	82802484	195480293220	94224141336	173508260262	6327189810	925288458	7182215460	823545744	64801944	0	0	0	0	0	0	0
hr_test		638174957261	518842778263	409382614073	7564158	0	79644119466	18000270	0	114842922618	39600594	115060988814	30000900	452413572	188376282564	90996136494	168180252270	5950978524	1623081408	6692600772	727505424	714021420	0	0	0	0	0	0	0
hr_test		637092955638	519314778971	407106610659	39861912	0	79476119214	15600234	0	114282514212	38400576	114420174396	2400072	61201836	188076282114	90288135432	168348252522	6094382826	1803757260	6902007054	794433522	846025380	0	0	0	0	0	0	0
hr_test		635858953787	517992776988	410728616092	4322376	0	79092118638	15600234	0	114348515202	39600594	114206569590	0	66601998	187896281844	90108135162	167340251010	6532395966	1801356252	7343620302	794733648	825024750	0	0	0	0	0	0	0
hr_test		656332984498	484152726228	387014580521	26414520	0	56784085176	15600234	0	120501007488	45600684	119016277806	1200036	0	195840293760	94824142236	173664260496	5755372656	835550784	6592397766	819043854	0	0	0	0	0	0	0	0
hr_test		653394980091	485286727929	387846581769	35419470	0	57348086022	14400216	0	119456991828	46800702	118490665980	1200036	0	195132292698	94164141246	173136259704	5748772458	832249398	6582797478	813941712	0	0	0	0	0	0	0	0
hr_test		647818971727	483010724515	391048586572	960528	0	57660086490	15600234	0	118579778670	46800702	117175436388	6000180	622818684	193392290088	93864140796	171288256932	5771573142	867964392	6564796938	766821930	74402232	0	0	0	0	0	0	0
hr_test		654048981072	485052727578	387210580815	44664552	0	57348086022	13200198	0	119437791540	42000630	118531466898	1800054	0	195072292608	94284141426	173496260244	5722371666	832849650	6556996704	819043854	0	0	0	0	0	0	0	0
hr_test		636760955140	519028778542	407884611826	1680924	0	78936118404	15600234	0	114437316534	40800612	114261770832	0	418212546	187896281844	90420135630	167664251496	6420792618	1628783802	7253017584	813341460	638419152	0	0	0	0	0	0	0
hr_test		637146955719	519756779634	408308612462	32417820	0	79536119304	16800252	0	114497317434	39600594	114650579580	1200036	27000810	188004282006	90360135540	168408252612	5943778308	1609875864	6716601492	759618906	666619998	0	0	0	0	0	0	0
parsec_12		21596032394	12524018786	14442021663	120066	0	2472003708	27600414	0	2742041130	26400396	2752861938	0	0	4560006840	1608002412	4344006516	123603708	24010080	151804554	22809576	0	600018	0	0	0	0	0	1
parsec_12		21530032295	13916020874	15868023802	120066	0	2544003816	36000540	0	2666439996	32400486	2688060480	0	0	4308006462	1500002250	4224006336	105603168	28812096	139204176	28211844	0	0	0	0	0	0	0	1
parsec_12		21566032349	12248018372	13846020769	120066	0	2748004122	30000450	0	2259633894	25200378	2253650706	0	0	4140006210	1440002160	4116006174	111003330	24910458	141004230	25210584	0	0	0	0	0	0	0	1
